Gmina,Powiat,Województwo,Andrzej Sebastian DUDA,Rafał Kazimierz TRZASKOWSKI
gm. Stronie Śląskie,kłodzki,dolnośląskie,1612,2248
gm. Szczytna,kłodzki,dolnośląskie,1661,2007
m. Chojnów,legnicki,dolnośląskie,3122,2981
gm. Chojnów,legnicki,dolnośląskie,2944,1776
gm. Krotoszyce,legnicki,dolnośląskie,1076,607
gm. Kunice,legnicki,dolnośląskie,1759,2028
gm. Legnickie Pole,legnicki,dolnośląskie,1559,1042
gm. Miłkowice,legnicki,dolnośląskie,1889,1577
gm. Prochowice,legnicki,dolnośląskie,2001,1542
gm. Ruja,legnicki,dolnośląskie,909,397
m. Lubań,lubański,dolnośląskie,4154,5786
m. Świeradów-Zdrój,lubański,dolnośląskie,1030,1745
gm. Leśna,lubański,dolnośląskie,2273,2240
gm. Lubań,lubański,dolnośląskie,1524,1544
gm. Olszyna,lubański,dolnośląskie,1352,1607
gm. Platerówka,lubański,dolnośląskie,548,384
gm. Siekierczyn,lubański,dolnośląskie,1215,1320
m. Lubin,lubiński,dolnośląskie,19200,16380
gm. Lubin,lubiński,dolnośląskie,4629,3943
gm. Rudna,lubiński,dolnośląskie,2517,1329
gm. Ścinawa,lubiński,dolnośląskie,3358,1475
gm. Gryfów Śląski,lwówecki,dolnośląskie,2078,2372
gm. Lubomierz,lwówecki,dolnośląskie,1359,1365
gm. Lwówek Śląski,lwówecki,dolnośląskie,3789,4185
gm. Mirsk,lwówecki,dolnośląskie,1943,2011
gm. Wleń,lwówecki,dolnośląskie,1037,1095
gm. Cieszków,milicki,dolnośląskie,1465,905
gm. Krośnice,milicki,dolnośląskie,2360,1612
gm. Milicz,milicki,dolnośląskie,6328,5702
m. Oleśnica,oleśnicki,dolnośląskie,8103,10772
gm. Bierutów,oleśnicki,dolnośląskie,2604,1996
gm. Dobroszyce,oleśnicki,dolnośląskie,1886,1582
gm. Dziadowa Kłoda,oleśnicki,dolnośląskie,1207,1022
gm. Międzybórz,oleśnicki,dolnośląskie,1216,1143
gm. Oleśnica,oleśnicki,dolnośląskie,3405,3293
gm. Syców,oleśnicki,dolnośląskie,3666,4695
gm. Twardogóra,oleśnicki,dolnośląskie,3437,2958
m. Oława,oławski,dolnośląskie,7505,9603
gm. Domaniów,oławski,dolnośląskie,1694,1025
gm. Jelcz-Laskowice,oławski,dolnośląskie,6180,5816
gm. Oława,oławski,dolnośląskie,4446,3734
gm. Chocianów,polkowicki,dolnośląskie,4267,2025
gm. Gaworzyce,polkowicki,dolnośląskie,1321,695
gm. Grębocice,polkowicki,dolnośląskie,1750,942
gm. Polkowice,polkowicki,dolnośląskie,7340,5483
gm. Przemków,polkowicki,dolnośląskie,2380,1407
gm. Radwanice,polkowicki,dolnośląskie,1539,975
gm. Borów,strzeliński,dolnośląskie,1870,1030
gm. Kondratowice,strzeliński,dolnośląskie,1375,780
gm. Przeworno,strzeliński,dolnośląskie,1623,846
gm. Strzelin,strzeliński,dolnośląskie,5877,6027
gm. Wiązów,strzeliński,dolnośląskie,2454,1147
gm. Kostomłoty,średzki,dolnośląskie,2258,1359
gm. Malczyce,średzki,dolnośląskie,1670,1185
gm. Miękinia,średzki,dolnośląskie,3895,5194
gm. Środa Śląska,średzki,dolnośląskie,5022,4720
gm. Udanin,średzki,dolnośląskie,1811,873
m. Świdnica,świdnicki,dolnośląskie,11560,17333
m. Świebodzice,świdnicki,dolnośląskie,4807,6082
gm. Dobromierz,świdnicki,dolnośląskie,1473,983
gm. Jaworzyna Śląska,świdnicki,dolnośląskie,2533,2191
gm. Marcinowice,świdnicki,dolnośląskie,2061,1501
gm. Strzegom,świdnicki,dolnośląskie,6641,5826
gm. Świdnica,świdnicki,dolnośląskie,4219,4498
gm. Żarów,świdnicki,dolnośląskie,3040,2828
gm. Oborniki Śląskie,trzebnicki,dolnośląskie,5105,6154
gm. Prusice,trzebnicki,dolnośląskie,2906,1883
gm. Trzebnica,trzebnicki,dolnośląskie,6282,6447
gm. Wisznia Mała,trzebnicki,dolnośląskie,2938,3157
gm. Zawonia,trzebnicki,dolnośląskie,1630,1308
gm. Żmigród,trzebnicki,dolnośląskie,3766,3329
m. Boguszów-Gorce,wałbrzyski,dolnośląskie,2618,3802
m. Jedlina-Zdrój,wałbrzyski,dolnośląskie,915,1485
m. Szczawno-Zdrój,wałbrzyski,dolnośląskie,1113,2158
gm. Czarny Bór,wałbrzyski,dolnośląskie,1312,1256
gm. Głuszyca,wałbrzyski,dolnośląskie,1648,2391
gm. Mieroszów,wałbrzyski,dolnośląskie,1368,1749
gm. Stare Bogaczowice,wałbrzyski,dolnośląskie,1002,1186
gm. Walim,wałbrzyski,dolnośląskie,1289,1480
gm. Brzeg Dolny,wołowski,dolnośląskie,3766,4290
gm. Wińsko,wołowski,dolnośląskie,2948,1193
gm. Wołów,wołowski,dolnośląskie,6133,5549
gm. Czernica,wrocławski,dolnośląskie,3749,6210
gm. Długołęka,wrocławski,dolnośląskie,8154,11438
gm. Jordanów Śląski,wrocławski,dolnośląskie,1280,764
gm. Kąty Wrocławskie,wrocławski,dolnośląskie,5841,7716
gm. Kobierzyce,wrocławski,dolnośląskie,4144,7323
gm. Mietków,wrocławski,dolnośląskie,1207,939
gm. Sobótka,wrocławski,dolnośląskie,3364,3238
gm. Siechnice,wrocławski,dolnośląskie,4933,8040
gm. Żórawina,wrocławski,dolnośląskie,2694,3474
gm. Bardo,ząbkowicki,dolnośląskie,1307,1297
gm. Ciepłowody,ząbkowicki,dolnośląskie,989,607
gm. Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie,2123,1826
gm. Stoszowice,ząbkowicki,dolnośląskie,1482,1063
gm. Ząbkowice Śląskie,ząbkowicki,dolnośląskie,5330,5251
gm. Ziębice,ząbkowicki,dolnośląskie,4770,3350
gm. Złoty Stok,ząbkowicki,dolnośląskie,1140,1007
m. Zawidów,zgorzelecki,dolnośląskie,906,1038
m. Zgorzelec,zgorzelecki,dolnośląskie,6555,9092
gm. Bogatynia,zgorzelecki,dolnośląskie,5316,5356
gm. Pieńsk,zgorzelecki,dolnośląskie,1930,1935
gm. Sulików,zgorzelecki,dolnośląskie,1651,1156
gm. Węgliniec,zgorzelecki,dolnośląskie,1876,1906
gm. Zgorzelec,zgorzelecki,dolnośląskie,2118,2031
m. Wojcieszów,złotoryjski,dolnośląskie,741,910
m. Złotoryja,złotoryjski,dolnośląskie,3508,4270
gm. Pielgrzymka,złotoryjski,dolnośląskie,1183,917
gm. Świerzawa,złotoryjski,dolnośląskie,1752,1779
gm. Zagrodno,złotoryjski,dolnośląskie,1721,840
gm. Złotoryja,złotoryjski,dolnośląskie,1883,1510
m. Jelenia Góra,Jelenia Góra,dolnośląskie,14403,26042
m. Legnica,Legnica,dolnośląskie,21190,25640
m. Wrocław,Wrocław,dolnośląskie,121958,243387
m. Wałbrzych,Wałbrzych,dolnośląskie,19628,29884
m. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,2707,3237
m. Ciechocinek,aleksandrowski,kujawsko-pomorskie,3560,4154
m. Nieszawa,aleksandrowski,kujawsko-pomorskie,523,440
gm. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,3254,2294
gm. Bądkowo,aleksandrowski,kujawsko-pomorskie,1363,764
gm. Koneck,aleksandrowski,kujawsko-pomorskie,1085,505
gm. Raciążek,aleksandrowski,kujawsko-pomorskie,1019,711
gm. Waganiec,aleksandrowski,kujawsko-pomorskie,1667,688
gm. Zakrzewo,aleksandrowski,kujawsko-pomorskie,1020,666
m. Brodnica,brodnicki,kujawsko-pomorskie,6304,7532
gm. Bobrowo,brodnicki,kujawsko-pomorskie,1958,1152
gm. Brodnica,brodnicki,kujawsko-pomorskie,2049,1886
gm. Brzozie,brodnicki,kujawsko-pomorskie,1466,614
gm. Górzno,brodnicki,kujawsko-pomorskie,1360,709
gm. Bartniczka,brodnicki,kujawsko-pomorskie,1560,654
gm. Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,2440,1521
gm. Osiek,brodnicki,kujawsko-pomorskie,1215,601
gm. Świedziebnia,brodnicki,kujawsko-pomorskie,1670,722
gm. Zbiczno,brodnicki,kujawsko-pomorskie,1456,1448
gm. Białe Błota,bydgoski,kujawsko-pomorskie,4049,8047
gm. Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie,1899,2070
gm. Dobrcz,bydgoski,kujawsko-pomorskie,2815,3440
gm. Koronowo,bydgoski,kujawsko-pomorskie,5680,6427
gm. Nowa Wieś Wielka,bydgoski,kujawsko-pomorskie,2032,3071
gm. Osielsko,bydgoski,kujawsko-pomorskie,2577,6092
gm. Sicienko,bydgoski,kujawsko-pomorskie,2317,2956
gm. Solec Kujawski,bydgoski,kujawsko-pomorskie,3167,5025
m. Chełmno,chełmiński,kujawsko-pomorskie,3522,5315
gm. Chełmno,chełmiński,kujawsko-pomorskie,1315,1231
gm. Kijewo Królewskie,chełmiński,kujawsko-pomorskie,1214,960
gm. Lisewo,chełmiński,kujawsko-pomorskie,1377,926
gm. Papowo Biskupie,chełmiński,kujawsko-pomorskie,1111,728
gm. Stolno,chełmiński,kujawsko-pomorskie,1358,1033
gm. Unisław,chełmiński,kujawsko-pomorskie,1721,1439
m. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,2985,2742
gm. Ciechocin,golubsko-dobrzyński,kujawsko-pomorskie,1379,683
gm. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,2586,1641
gm. Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie,3106,2402
gm. Radomin,golubsko-dobrzyński,kujawsko-pomorskie,1476,553
gm. Zbójno,golubsko-dobrzyński,kujawsko-pomorskie,1375,640
gm. Grudziądz,grudziądzki,kujawsko-pomorskie,2757,3153
gm. Gruta,grudziądzki,kujawsko-pomorskie,1864,1174
gm. Łasin,grudziądzki,kujawsko-pomorskie,2164,1360
gm. Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie,1242,798
gm. Rogóźno,grudziądzki,kujawsko-pomorskie,1155,702
gm. Świecie nad Osą,grudziądzki,kujawsko-pomorskie,1168,505
m. Inowrocław,inowrocławski,kujawsko-pomorskie,14401,22695
gm. Dąbrowa Biskupia,inowrocławski,kujawsko-pomorskie,1349,898
gm. Gniewkowo,inowrocławski,kujawsko-pomorskie,3580,3096
gm. Inowrocław,inowrocławski,kujawsko-pomorskie,3034,2870
gm. Janikowo,inowrocławski,kujawsko-pomorskie,3209,3061
gm. Kruszwica,inowrocławski,kujawsko-pomorskie,5067,4146
gm. Pakość,inowrocławski,kujawsko-pomorskie,2356,2287
gm. Rojewo,inowrocławski,kujawsko-pomorskie,1324,788
gm. Złotniki Kujawskie,inowrocławski,kujawsko-pomorskie,2321,2024
m. Lipno,lipnowski,kujawsko-pomorskie,3088,3383
gm. Bobrowniki,lipnowski,kujawsko-pomorskie,851,592
gm. Chrostkowo,lipnowski,kujawsko-pomorskie,1008,371
gm. Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie,2366,1198
gm. Kikół,lipnowski,kujawsko-pomorskie,2040,1159
gm. Lipno,lipnowski,kujawsko-pomorskie,3232,1901
gm. Skępe,lipnowski,kujawsko-pomorskie,2234,1621
gm. Tłuchowo,lipnowski,kujawsko-pomorskie,1554,612
gm. Wielgie,lipnowski,kujawsko-pomorskie,1791,1161
gm. Dąbrowa,mogileński,kujawsko-pomorskie,1243,925
gm. Jeziora Wielkie,mogileński,kujawsko-pomorskie,1519,906
gm. Mogilno,mogileński,kujawsko-pomorskie,6109,6183
gm. Strzelno,mogileński,kujawsko-pomorskie,3055,2458
gm. Kcynia,nakielski,kujawsko-pomorskie,3477,2624
gm. Mrocza,nakielski,kujawsko-pomorskie,2302,1769
gm. Nakło nad Notecią,nakielski,kujawsko-pomorskie,7080,8444
gm. Sadki,nakielski,kujawsko-pomorskie,1904,1454
gm. Szubin,nakielski,kujawsko-pomorskie,5295,6326
m. Radziejów,radziejowski,kujawsko-pomorskie,1569,1332
gm. Bytoń,radziejowski,kujawsko-pomorskie,1411,495
gm. Dobre,radziejowski,kujawsko-pomorskie,1651,854
gm. Osięciny,radziejowski,kujawsko-pomorskie,2443,1259
gm. Piotrków Kujawski,radziejowski,kujawsko-pomorskie,3262,1554
gm. Radziejów,radziejowski,kujawsko-pomorskie,1430,775
gm. Topólka,radziejowski,kujawsko-pomorskie,1711,1130
m. Rypin,rypiński,kujawsko-pomorskie,3889,4017
gm. Brzuze,rypiński,kujawsko-pomorskie,1638,940
gm. Rogowo,rypiński,kujawsko-pomorskie,1652,692
gm. Rypin,rypiński,kujawsko-pomorskie,2117,1277
gm. Skrwilno,rypiński,kujawsko-pomorskie,2059,816
gm. Wąpielsk,rypiński,kujawsko-pomorskie,1214,615
gm. Kamień Krajeński,sępoleński,kujawsko-pomorskie,1740,1394
gm. Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie,3542,4034
gm. Sośno,sępoleński,kujawsko-pomorskie,1332,816
gm. Więcbork,sępoleński,kujawsko-pomorskie,3268,2857
gm. Bukowiec,świecki,kujawsko-pomorskie,1446,838
gm. Dragacz,świecki,kujawsko-pomorskie,1566,1584
gm. Drzycim,świecki,kujawsko-pomorskie,1421,873
gm. Jeżewo,świecki,kujawsko-pomorskie,2136,1574
gm. Lniano,świecki,kujawsko-pomorskie,1302,888
gm. Nowe,świecki,kujawsko-pomorskie,2225,2199
gm. Osie,świecki,kujawsko-pomorskie,1411,1496
gm. Pruszcz,świecki,kujawsko-pomorskie,2455,2211
gm. Świecie,świecki,kujawsko-pomorskie,6787,9074
gm. Świekatowo,świecki,kujawsko-pomorskie,1027,782
gm. Warlubie,świecki,kujawsko-pomorskie,1635,1148
m. Chełmża,toruński,kujawsko-pomorskie,2980,3413
gm. Chełmża,toruński,kujawsko-pomorskie,2580,1837
gm. Czernikowo,toruński,kujawsko-pomorskie,2352,1742
gm. Lubicz,toruński,kujawsko-pomorskie,4848,5559
gm. Łubianka,toruński,kujawsko-pomorskie,1854,1854
gm. Łysomice,toruński,kujawsko-pomorskie,2229,2933
gm. Obrowo,toruński,kujawsko-pomorskie,4253,4819
gm. Wielka Nieszawka,toruński,kujawsko-pomorskie,1036,1629
gm. Zławieś Wielka,toruński,kujawsko-pomorskie,2985,4012
gm. Cekcyn,tucholski,kujawsko-pomorskie,2094,1514
gm. Gostycyn,tucholski,kujawsko-pomorskie,1420,947
gm. Kęsowo,tucholski,kujawsko-pomorskie,1371,767
gm. Lubiewo,tucholski,kujawsko-pomorskie,1903,1179
gm. Śliwice,tucholski,kujawsko-pomorskie,1962,1324
gm. Tuchola,tucholski,kujawsko-pomorskie,5230,4741
m. Wąbrzeźno,wąbrzeski,kujawsko-pomorskie,2530,3705
gm. Dębowa Łąka,wąbrzeski,kujawsko-pomorskie,877,497
gm. Książki,wąbrzeski,kujawsko-pomorskie,1086,763
gm. Płużnica,wąbrzeski,kujawsko-pomorskie,1208,918
gm. Ryńsk,wąbrzeski,kujawsko-pomorskie,2234,1597
m. Kowal,włocławski,kujawsko-pomorskie,921,922
gm. Baruchowo,włocławski,kujawsko-pomorskie,1178,770
gm. Boniewo,włocławski,kujawsko-pomorskie,1297,692
gm. Brześć Kujawski,włocławski,kujawsko-pomorskie,2895,2768
gm. Choceń,włocławski,kujawsko-pomorskie,2217,1429
gm. Chodecz,włocławski,kujawsko-pomorskie,1895,1258
gm. Fabianki,włocławski,kujawsko-pomorskie,2162,2624
gm. Izbica Kujawska,włocławski,kujawsko-pomorskie,2643,1051
gm. Kowal,włocławski,kujawsko-pomorskie,1230,714
gm. Lubanie,włocławski,kujawsko-pomorskie,1596,824
gm. Lubień Kujawski,włocławski,kujawsko-pomorskie,2313,1057
gm. Lubraniec,włocławski,kujawsko-pomorskie,2946,1782
gm. Włocławek,włocławski,kujawsko-pomorskie,1937,1900
gm. Barcin,żniński,kujawsko-pomorskie,2945,3960
gm. Gąsawa,żniński,kujawsko-pomorskie,1601,1162
gm. Janowiec Wielkopolski,żniński,kujawsko-pomorskie,2364,1939
gm. Łabiszyn,żniński,kujawsko-pomorskie,2517,2292
gm. Rogowo,żniński,kujawsko-pomorskie,2013,1482
gm. Żnin,żniński,kujawsko-pomorskie,6322,5583
m. Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,66131,111726
m. Grudziądz,Grudziądz,kujawsko-pomorskie,17782,24856
m. Toruń,Toruń,kujawsko-pomorskie,38332,65567
m. Włocławek,Włocławek,kujawsko-pomorskie,21244,32477
m. Międzyrzec Podlaski,bialski,lubelskie,5699,2852
m. Terespol,bialski,lubelskie,1644,1211
gm. Biała Podlaska,bialski,lubelskie,4845,2514
gm. Drelów,bialski,lubelskie,2004,564
gm. Janów Podlaski,bialski,lubelskie,1690,887
gm. Kodeń,bialski,lubelskie,1223,595
gm. Konstantynów,bialski,lubelskie,1431,563
gm. Leśna Podlaska,bialski,lubelskie,1664,498
gm. Łomazy,bialski,lubelskie,1892,636
gm. Międzyrzec Podlaski,bialski,lubelskie,4444,992
gm. Piszczac,bialski,lubelskie,2238,736
gm. Rokitno,bialski,lubelskie,1072,398
gm. Rossosz,bialski,lubelskie,1007,392
gm. Sławatycze,bialski,lubelskie,776,438
gm. Sosnówka,bialski,lubelskie,786,333
gm. Terespol,bialski,lubelskie,2316,953
gm. Tuczna,bialski,lubelskie,1059,378
gm. Wisznice,bialski,lubelskie,1669,799
gm. Zalesie,bialski,lubelskie,1465,613
m. Biłgoraj,biłgorajski,lubelskie,8072,5396
gm. Aleksandrów,biłgorajski,lubelskie,1379,240
gm. Biłgoraj,biłgorajski,lubelskie,5337,1381
gm. Biszcza,biłgorajski,lubelskie,1597,347
gm. Frampol,biłgorajski,lubelskie,2479,677
gm. Goraj,biłgorajski,lubelskie,1813,309
gm. Józefów,biłgorajski,lubelskie,2346,1089
gm. Księżpol,biłgorajski,lubelskie,3029,668
gm. Łukowa,biłgorajski,lubelskie,1874,400
gm. Obsza,biłgorajski,lubelskie,1856,358
gm. Potok Górny,biłgorajski,lubelskie,2496,385
gm. Tarnogród,biłgorajski,lubelskie,2709,789
gm. Tereszpol,biłgorajski,lubelskie,1476,493
gm. Turobin,biłgorajski,lubelskie,3069,541
m. Rejowiec Fabryczny,chełmski,lubelskie,1300,717
gm. Białopole,chełmski,lubelskie,1015,272
gm. Chełm,chełmski,lubelskie,4670,2443
gm. Dorohusk,chełmski,lubelskie,2329,762
gm. Dubienka,chełmski,lubelskie,771,430
gm. Kamień,chełmski,lubelskie,1363,543
gm. Leśniowice,chełmski,lubelskie,1102,528
gm. Rejowiec Fabryczny,chełmski,lubelskie,1637,400
gm. Ruda-Huta,chełmski,lubelskie,1430,579
gm. Sawin,chełmski,lubelskie,1867,695
gm. Siedliszcze,chełmski,lubelskie,2402,620
gm. Wierzbica,chełmski,lubelskie,2058,512
gm. Wojsławice,chełmski,lubelskie,1510,378
gm. Żmudź,chełmski,lubelskie,1055,379
gm. Rejowiec,chełmski,lubelskie,2014,787
m. Hrubieszów,hrubieszowski,lubelskie,5107,3774
gm. Dołhobyczów,hrubieszowski,lubelskie,1822,552
gm. Horodło,hrubieszowski,lubelskie,1703,584
gm. Hrubieszów,hrubieszowski,lubelskie,3571,1047
gm. Mircze,hrubieszowski,lubelskie,2470,809
gm. Trzeszczany,hrubieszowski,lubelskie,1529,441
gm. Uchanie,hrubieszowski,lubelskie,1949,371
gm. Werbkowice,hrubieszowski,lubelskie,3450,999
gm. Batorz,janowski,lubelskie,1753,247
gm. Chrzanów,janowski,lubelskie,1789,107
gm. Dzwola,janowski,lubelskie,3296,267
gm. Godziszów,janowski,lubelskie,3501,175
gm. Janów Lubelski,janowski,lubelskie,6432,2223
gm. Modliborzyce,janowski,lubelskie,3026,666
gm. Potok Wielki,janowski,lubelskie,1998,403
m. Krasnystaw,krasnostawski,lubelskie,5315,4095
gm. Fajsławice,krasnostawski,lubelskie,2001,530
gm. Gorzków,krasnostawski,lubelskie,1360,450
gm. Izbica,krasnostawski,lubelskie,3003,1008
gm. Krasnystaw,krasnostawski,lubelskie,2948,1202
gm. Kraśniczyn,krasnostawski,lubelskie,1349,518
gm. Łopiennik Górny,krasnostawski,lubelskie,1592,379
gm. Rudnik,krasnostawski,lubelskie,1199,326
gm. Siennica Różana,krasnostawski,lubelskie,1209,756
gm. Żółkiewka,krasnostawski,lubelskie,2124,475
m. Kraśnik,kraśnicki,lubelskie,10461,6571
gm. Annopol,kraśnicki,lubelskie,3426,1043
gm. Dzierzkowice,kraśnicki,lubelskie,2094,652
gm. Gościeradów,kraśnicki,lubelskie,2783,787
gm. Kraśnik,kraśnicki,lubelskie,2717,882
gm. Szastarka,kraśnicki,lubelskie,2700,434
gm. Trzydnik Duży,kraśnicki,lubelskie,2464,783
gm. Urzędów,kraśnicki,lubelskie,3558,1012
gm. Wilkołaz,kraśnicki,lubelskie,2582,549
gm. Zakrzówek,kraśnicki,lubelskie,2757,641
m. Lubartów,lubartowski,lubelskie,6720,5028
gm. Abramów,lubartowski,lubelskie,1917,262
gm. Firlej,lubartowski,lubelskie,2241,772
gm. Jeziorzany,lubartowski,lubelskie,1143,253
gm. Kamionka,lubartowski,lubelskie,2335,941
gm. Kock,lubartowski,lubelskie,2686,637
gm. Lubartów,lubartowski,lubelskie,4235,1900
gm. Michów,lubartowski,lubelskie,2466,617
gm. Niedźwiada,lubartowski,lubelskie,2731,615
gm. Ostrów Lubelski,lubartowski,lubelskie,2112,639
gm. Ostrówek,lubartowski,lubelskie,1609,364
gm. Serniki,lubartowski,lubelskie,2187,501
gm. Uścimów,lubartowski,lubelskie,1311,486
gm. Bełżyce,lubelski,lubelskie,5018,1838
gm. Borzechów,lubelski,lubelskie,1811,344
gm. Bychawa,lubelski,lubelskie,4573,1508
gm. Garbów,lubelski,lubelskie,3548,1274
gm. Głusk,lubelski,lubelskie,3827,2620
gm. Jabłonna,lubelski,lubelskie,2932,1103
gm. Jastków,lubelski,lubelskie,5087,2799
gm. Konopnica,lubelski,lubelskie,4294,3620
gm. Krzczonów,lubelski,lubelskie,1814,607
gm. Niedrzwica Duża,lubelski,lubelskie,4416,1779
gm. Niemce,lubelski,lubelskie,6837,3871
gm. Strzyżewice,lubelski,lubelskie,2953,1172
gm. Wojciechów,lubelski,lubelskie,2375,811
gm. Wólka,lubelski,lubelskie,4039,2450
gm. Wysokie,lubelski,lubelskie,2023,448
gm. Zakrzew,lubelski,lubelskie,1343,220
gm. Cyców,łęczyński,lubelskie,2994,875
gm. Ludwin,łęczyński,lubelskie,2144,910
gm. Łęczna,łęczyński,lubelskie,7926,3977
gm. Milejów,łęczyński,lubelskie,3254,1105
gm. Puchaczów,łęczyński,lubelskie,2314,730
gm. Spiczyn,łęczyński,lubelskie,1896,868
m. Łuków,łukowski,lubelskie,9848,5810
m. Stoczek Łukowski,łukowski,lubelskie,977,498
gm. Adamów,łukowski,lubelskie,2178,681
gm. Krzywda,łukowski,lubelskie,4270,923
gm. Łuków,łukowski,lubelskie,7767,1730
gm. Serokomla,łukowski,lubelskie,1724,331
gm. Stanin,łukowski,lubelskie,4319,810
gm. Stoczek Łukowski,łukowski,lubelskie,3743,636
gm. Trzebieszów,łukowski,lubelskie,3949,502
gm. Wojcieszków,łukowski,lubelskie,3063,544
gm. Wola Mysłowska,łukowski,lubelskie,2393,422
gm. Chodel,opolski,lubelskie,2793,582
gm. Józefów nad Wisłą,opolski,lubelskie,2506,766
gm. Karczmiska,opolski,lubelskie,1968,715
gm. Łaziska,opolski,lubelskie,1943,555
gm. Opole Lubelskie,opolski,lubelskie,6140,2796
gm. Poniatowa,opolski,lubelskie,5075,2317
gm. Wilków,opolski,lubelskie,1989,451
gm. Dębowa Kłoda,parczewski,lubelskie,1403,615
gm. Jabłoń,parczewski,lubelskie,1588,473
gm. Milanów,parczewski,lubelskie,1358,479
gm. Parczew,parczewski,lubelskie,4515,2913
gm. Podedwórze,parczewski,lubelskie,635,227
gm. Siemień,parczewski,lubelskie,1778,523
gm. Sosnowica,parczewski,lubelskie,951,450
m. Puławy,puławski,lubelskie,13156,11931
gm. Baranów,puławski,lubelskie,1581,507
gm. Janowiec,puławski,lubelskie,1380,740
gm. Kazimierz Dolny,puławski,lubelskie,2526,1822
gm. Końskowola,puławski,lubelskie,3410,1455
