Gmina,Powiat,Województwo,Robert BIEDROŃ,Krzysztof BOSAK,Andrzej Sebastian DUDA,Szymon Franciszek HOŁOWNIA,Marek JAKUBIAK,Władysław Marcin KOSINIAK-KAMYSZ,Mirosław Mariusz PIOTROWSKI,Paweł Jan TANAJNO,Rafał Kazimierz TRZASKOWSKI,Waldemar Włodzimierz WITKOWSKI,Stanisław Józef ŻÓŁTEK
gm. Kunice,legnicki,dolnośląskie,74,200,1423,555,6,81,3,3,1259,3,10
gm. Legnickie Pole,legnicki,dolnośląskie,43,171,1297,303,4,58,3,4,602,3,4
gm. Miłkowice,legnicki,dolnośląskie,72,208,1555,401,8,92,0,5,982,5,9
gm. Prochowice,legnicki,dolnośląskie,48,212,1692,333,5,78,4,8,971,4,7
gm. Ruja,legnicki,dolnośląskie,15,68,653,79,0,38,2,1,208,3,0
m. Lubań,lubański,dolnośląskie,235,460,3522,1715,13,147,10,15,3611,8,20
m. Świeradów-Zdrój,lubański,dolnośląskie,58,98,726,281,3,35,2,2,847,7,3
gm. Leśna,lubański,dolnośląskie,112,231,1883,647,8,87,2,7,1296,3,3
gm. Lubań,lubański,dolnośląskie,36,155,1289,655,5,65,1,6,780,2,3
gm. Olszyna,lubański,dolnośląskie,35,153,1120,595,3,55,1,2,826,3,0
gm. Platerówka,lubański,dolnośląskie,12,64,413,96,0,25,0,7,181,0,1
gm. Siekierczyn,lubański,dolnośląskie,46,117,1025,408,3,57,1,4,700,3,4
m. Lubin,lubiński,dolnośląskie,828,2526,16206,4084,62,560,37,57,10601,29,79
gm. Lubin,lubiński,dolnośląskie,209,634,3717,1118,19,148,8,10,2368,12,22
gm. Rudna,lubiński,dolnośląskie,69,245,2038,411,16,72,3,4,757,4,12
gm. Ścinawa,lubiński,dolnośląskie,76,294,2745,397,5,74,8,1,890,4,10
gm. Gryfów Śląski,lwówecki,dolnośląskie,103,195,1751,769,5,92,7,7,1359,6,9
gm. Lubomierz,lwówecki,dolnośląskie,66,131,1111,367,3,64,4,7,791,0,2
gm. Lwówek Śląski,lwówecki,dolnośląskie,173,455,3099,1148,21,192,10,4,2542,7,11
gm. Mirsk,lwówecki,dolnośląskie,83,181,1578,611,9,77,10,13,1089,2,4
gm. Wleń,lwówecki,dolnośląskie,45,111,810,240,3,53,4,3,607,2,3
gm. Cieszków,milicki,dolnośląskie,45,162,1171,291,3,77,3,2,485,0,9
gm. Krośnice,milicki,dolnośląskie,64,228,1915,457,5,81,2,6,888,3,11
gm. Milicz,milicki,dolnośląskie,220,636,5260,1390,9,279,11,11,3539,16,17
m. Oleśnica,oleśnicki,dolnośląskie,454,1138,6716,2997,25,299,14,27,6661,32,65
gm. Bierutów,oleśnicki,dolnośląskie,87,271,2122,711,8,88,2,6,1084,1,3
gm. Dobroszyce,oleśnicki,dolnośląskie,45,219,1487,490,4,71,3,5,894,5,8
gm. Dziadowa Kłoda,oleśnicki,dolnośląskie,25,128,949,260,5,78,0,6,518,2,0
gm. Międzybórz,oleśnicki,dolnośląskie,28,164,933,381,2,79,1,0,645,2,1
gm. Oleśnica,oleśnicki,dolnośląskie,114,393,2776,1142,13,125,6,8,1860,5,6
gm. Syców,oleśnicki,dolnośląskie,162,580,2947,1337,15,231,8,13,2698,9,10
gm. Twardogóra,oleśnicki,dolnośląskie,97,403,2808,949,7,116,5,9,1699,5,12
m. Oława,oławski,dolnośląskie,462,1230,6249,2285,25,307,27,22,6170,9,25
gm. Domaniów,oławski,dolnośląskie,54,178,1350,348,1,61,0,2,523,1,5
gm. Jelcz-Laskowice,oławski,dolnośląskie,225,773,5177,1570,27,201,14,13,3551,13,22
gm. Oława,oławski,dolnośląskie,160,603,3670,1244,8,132,6,13,2130,7,11
gm. Chocianów,polkowicki,dolnośląskie,82,497,3514,705,7,119,7,7,1157,6,14
gm. Gaworzyce,polkowicki,dolnośląskie,30,142,1070,254,1,50,3,1,366,2,5
gm. Grębocice,polkowicki,dolnośląskie,36,177,1433,301,6,52,2,7,487,0,2
gm. Polkowice,polkowicki,dolnośląskie,311,926,6055,1664,23,256,9,23,3117,12,20
gm. Przemków,polkowicki,dolnośląskie,87,254,1990,487,7,83,2,3,717,1,10
gm. Radwanice,polkowicki,dolnośląskie,31,146,1223,326,5,57,1,5,512,3,5
gm. Borów,strzeliński,dolnośląskie,38,155,1535,349,9,76,0,2,529,4,10
gm. Kondratowice,strzeliński,dolnośląskie,31,79,1148,177,0,40,0,3,477,3,4
gm. Przeworno,strzeliński,dolnośląskie,19,102,1322,256,3,62,1,0,472,4,1
gm. Strzelin,strzeliński,dolnośląskie,245,581,4817,1452,19,221,8,18,3801,12,31
gm. Wiązów,strzeliński,dolnośląskie,48,202,1997,370,3,52,2,2,666,6,6
gm. Kostomłoty,średzki,dolnośląskie,43,255,1831,390,7,92,5,5,724,6,7
gm. Malczyce,średzki,dolnośląskie,55,222,1395,311,5,49,4,4,716,6,6
gm. Miękinia,średzki,dolnośląskie,201,757,3053,1233,15,158,16,11,3255,10,30
gm. Środa Śląska,średzki,dolnośląskie,135,751,4090,1020,7,234,5,9,3105,9,24
gm. Udanin,średzki,dolnośląskie,31,139,1544,212,7,77,2,5,489,2,3
m. Świdnica,świdnicki,dolnośląskie,729,1623,9698,3979,41,472,38,38,11442,37,70
m. Świebodzice,świdnicki,dolnośląskie,266,603,4001,1491,11,141,11,11,3931,10,17
gm. Dobromierz,świdnicki,dolnośląskie,34,124,1219,254,2,38,0,1,605,2,4
gm. Jaworzyna Śląska,świdnicki,dolnośląskie,69,331,2082,615,2,75,3,12,1290,5,10
gm. Marcinowice,świdnicki,dolnośląskie,55,250,1598,384,10,74,2,4,847,0,11
gm. Strzegom,świdnicki,dolnośląskie,221,838,5562,1470,14,192,12,21,3616,19,15
gm. Świdnica,świdnicki,dolnośląskie,153,586,3474,1252,19,194,7,12,2646,5,26
gm. Żarów,świdnicki,dolnośląskie,132,417,2541,746,6,106,3,3,1755,12,16
gm. Oborniki Śląskie,trzebnicki,dolnośląskie,231,727,4151,1453,20,193,9,27,3880,16,20
gm. Prusice,trzebnicki,dolnośląskie,83,276,2347,542,5,68,3,3,988,3,10
gm. Trzebnica,trzebnicki,dolnośląskie,253,882,5217,1574,15,266,11,14,3955,13,28
gm. Wisznia Mała,trzebnicki,dolnośląskie,124,300,2382,772,10,112,2,14,2029,4,14
gm. Zawonia,trzebnicki,dolnośląskie,47,228,1322,333,7,47,3,8,774,2,1
gm. Żmigród,trzebnicki,dolnośląskie,143,454,3044,829,13,230,4,11,1802,7,10
m. Boguszów-Gorce,wałbrzyski,dolnośląskie,174,326,2172,1125,4,96,2,10,2359,2,17
m. Jedlina-Zdrój,wałbrzyski,dolnośląskie,54,107,731,396,2,44,2,1,943,1,4
m. Szczawno-Zdrój,wałbrzyski,dolnośląskie,100,133,895,445,3,40,0,5,1436,3,6
gm. Czarny Bór,wałbrzyski,dolnośląskie,50,164,1055,348,2,59,2,2,700,1,0
gm. Głuszyca,wałbrzyski,dolnośląskie,85,235,1325,648,7,80,3,9,1401,0,9
gm. Mieroszów,wałbrzyski,dolnośląskie,59,187,1105,391,4,53,4,7,1119,3,14
gm. Stare Bogaczowice,wałbrzyski,dolnośląskie,39,85,868,375,7,33,2,0,716,2,3
gm. Walim,wałbrzyski,dolnośląskie,50,177,1033,408,4,62,2,6,844,3,7
gm. Brzeg Dolny,wołowski,dolnośląskie,197,542,3131,1176,5,128,6,11,2711,14,18
gm. Wińsko,wołowski,dolnośląskie,61,235,2351,355,4,78,5,2,663,2,6
gm. Wołów,wołowski,dolnośląskie,228,712,5061,1476,22,238,14,11,3346,16,26
gm. Czernica,wrocławski,dolnośląskie,203,758,3010,1442,18,192,6,15,4051,14,27
gm. Długołęka,wrocławski,dolnośląskie,478,1324,6498,3157,39,404,15,41,7052,36,59
gm. Jordanów Śląski,wrocławski,dolnośląskie,47,123,955,240,6,53,1,0,392,3,6
gm. Kąty Wrocławskie,wrocławski,dolnośląskie,286,939,4690,1839,22,286,13,24,4970,21,28
gm. Kobierzyce,wrocławski,dolnośląskie,246,742,3363,1744,25,209,9,21,4926,21,33
gm. Mietków,wrocławski,dolnośląskie,40,143,926,245,4,80,1,7,545,2,5
gm. Sobótka,wrocławski,dolnośląskie,156,486,2719,751,11,140,5,14,1923,9,10
gm. Siechnice,wrocławski,dolnośląskie,299,969,3986,2117,23,255,12,30,5120,17,32
gm. Żórawina,wrocławski,dolnośląskie,124,395,2184,886,15,116,0,2,2231,5,11
gm. Bardo,ząbkowicki,dolnośląskie,51,98,1053,362,10,66,2,8,745,1,3
gm. Ciepłowody,ząbkowicki,dolnośląskie,27,67,806,158,0,27,5,4,361,3,5
gm. Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie,70,189,1783,435,5,101,2,6,1138,3,5
gm. Stoszowice,ząbkowicki,dolnośląskie,43,118,1243,267,4,127,4,0,607,3,4
gm. Ząbkowice Śląskie,ząbkowicki,dolnośląskie,169,550,4532,1201,7,266,4,15,3431,8,9
gm. Ziębice,ząbkowicki,dolnośląskie,114,348,3996,713,16,236,7,12,2078,6,12
gm. Złoty Stok,ząbkowicki,dolnośląskie,52,138,942,222,8,64,2,2,611,6,4
m. Zawidów,zgorzelecki,dolnośląskie,42,129,761,322,2,32,0,5,646,2,3
m. Zgorzelec,zgorzelecki,dolnośląskie,373,775,5515,2434,22,208,24,16,5779,20,23
gm. Bogatynia,zgorzelecki,dolnośląskie,278,732,4443,1936,20,184,7,12,3036,12,25
gm. Pieńsk,zgorzelecki,dolnośląskie,70,270,1552,627,3,70,0,3,1083,1,12
gm. Sulików,zgorzelecki,dolnośląskie,36,184,1419,396,7,51,1,2,645,2,2
gm. Węgliniec,zgorzelecki,dolnośląskie,60,234,1570,525,7,51,5,7,1134,7,10
gm. Zgorzelec,zgorzelecki,dolnośląskie,77,222,1741,723,12,75,1,7,1130,7,6
m. Wojcieszów,złotoryjski,dolnośląskie,36,63,643,232,0,22,0,2,558,2,3
m. Złotoryja,złotoryjski,dolnośląskie,162,349,3002,1093,17,120,8,6,2774,7,15
gm. Pielgrzymka,złotoryjski,dolnośląskie,36,111,947,354,2,68,0,3,440,3,7
gm. Świerzawa,złotoryjski,dolnośląskie,58,178,1428,505,5,85,3,7,1002,4,12
gm. Zagrodno,złotoryjski,dolnośląskie,31,114,1483,264,11,64,3,5,476,1,5
gm. Złotoryja,złotoryjski,dolnośląskie,47,178,1626,418,10,56,3,6,953,0,6
m. Jelenia Góra,Jelenia Góra,dolnośląskie,1082,1945,12048,5198,62,596,47,68,17654,58,73
m. Legnica,Legnica,dolnośląskie,1092,2849,17842,5918,63,758,45,77,16876,54,97
m. Wrocław,Wrocław,dolnośląskie,13898,25592,99770,51028,714,6381,362,760,154972,946,1346
m. Wałbrzych,Wałbrzych,dolnośląskie,1220,2256,16048,6822,56,715,30,71,20142,63,83
m. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,126,388,2161,751,6,93,8,9,2023,1,15
m. Ciechocinek,aleksandrowski,kujawsko-pomorskie,126,325,2626,644,7,112,6,7,2630,6,4
m. Nieszawa,aleksandrowski,kujawsko-pomorskie,25,55,418,118,2,25,1,0,259,2,5
gm. Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie,101,424,2593,738,5,156,2,3,1284,6,13
gm. Bądkowo,aleksandrowski,kujawsko-pomorskie,47,130,1094,269,1,99,3,2,362,3,2
gm. Koneck,aleksandrowski,kujawsko-pomorskie,15,91,842,166,1,64,1,8,233,2,4
gm. Raciążek,aleksandrowski,kujawsko-pomorskie,27,112,781,165,3,29,4,3,422,0,4
gm. Waganiec,aleksandrowski,kujawsko-pomorskie,24,126,1333,226,4,70,3,4,362,2,4
gm. Zakrzewo,aleksandrowski,kujawsko-pomorskie,44,82,814,236,4,84,1,1,347,1,2
m. Brodnica,brodnicki,kujawsko-pomorskie,225,696,5040,2137,29,276,15,17,4641,15,25
gm. Bobrowo,brodnicki,kujawsko-pomorskie,42,117,1560,370,6,92,2,4,562,3,6
gm. Brodnica,brodnicki,kujawsko-pomorskie,60,219,1602,652,9,145,3,4,1026,2,7
gm. Brzozie,brodnicki,kujawsko-pomorskie,24,105,1180,223,0,63,0,1,286,1,1
gm. Górzno,brodnicki,kujawsko-pomorskie,24,82,1063,264,3,78,2,1,310,1,5
gm. Bartniczka,brodnicki,kujawsko-pomorskie,13,118,1225,272,2,106,5,4,295,1,5
gm. Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,52,329,1929,528,5,150,3,9,723,3,11
gm. Osiek,brodnicki,kujawsko-pomorskie,23,97,978,189,2,72,1,5,270,1,0
gm. Świedziebnia,brodnicki,kujawsko-pomorskie,19,122,1311,204,2,184,3,0,334,0,7
gm. Zbiczno,brodnicki,kujawsko-pomorskie,32,136,1068,371,2,129,6,2,665,3,3
gm. Białe Błota,bydgoski,kujawsko-pomorskie,294,742,3157,2508,14,206,5,25,4741,18,33
gm. Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie,97,286,1507,764,11,108,1,8,1033,8,12
gm. Dobrcz,bydgoski,kujawsko-pomorskie,111,350,2124,1180,9,161,9,9,1828,2,12
gm. Koronowo,bydgoski,kujawsko-pomorskie,277,526,4433,1870,10,276,14,11,3475,13,27
gm. Nowa Wieś Wielka,bydgoski,kujawsko-pomorskie,114,320,1564,1041,7,98,6,4,1683,8,10
gm. Osielsko,bydgoski,kujawsko-pomorskie,262,452,1982,1560,10,165,11,9,4046,5,14
gm. Sicienko,bydgoski,kujawsko-pomorskie,102,310,1796,956,12,134,6,3,1723,5,10
gm. Solec Kujawski,bydgoski,kujawsko-pomorskie,164,554,2544,1565,9,131,6,12,2978,12,33
m. Chełmno,chełmiński,kujawsko-pomorskie,185,426,2927,1340,19,144,5,7,3335,9,13
gm. Chełmno,chełmiński,kujawsko-pomorskie,41,153,986,391,2,127,3,2,632,2,5
gm. Kijewo Królewskie,chełmiński,kujawsko-pomorskie,46,137,981,380,6,64,2,1,480,1,4
gm. Lisewo,chełmiński,kujawsko-pomorskie,43,145,1102,277,1,64,5,4,494,0,3
gm. Papowo Biskupie,chełmiński,kujawsko-pomorskie,18,104,830,261,4,52,1,1,359,1,8
gm. Stolno,chełmiński,kujawsko-pomorskie,50,153,1069,384,2,84,1,0,506,2,2
gm. Unisław,chełmiński,kujawsko-pomorskie,69,195,1383,546,3,60,0,5,762,1,7
m. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,130,289,2439,773,10,87,2,10,1725,7,11
gm. Ciechocin,golubsko-dobrzyński,kujawsko-pomorskie,50,134,1038,227,2,75,2,3,345,0,1
gm. Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,57,187,2023,552,8,141,6,2,909,10,4
gm. Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie,112,355,2426,828,8,178,5,6,1182,5,8
gm. Radomin,golubsko-dobrzyński,kujawsko-pomorskie,17,119,1194,201,3,61,1,2,262,1,6
gm. Zbójno,golubsko-dobrzyński,kujawsko-pomorskie,27,96,1101,264,1,59,0,5,312,2,3
gm. Grudziądz,grudziądzki,kujawsko-pomorskie,143,429,2143,928,4,149,6,7,1802,8,14
gm. Gruta,grudziądzki,kujawsko-pomorskie,44,202,1479,351,0,94,3,2,579,5,5
gm. Łasin,grudziądzki,kujawsko-pomorskie,58,172,1683,396,8,103,4,0,728,1,5
gm. Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie,35,157,987,227,4,70,1,6,386,4,3
gm. Rogóźno,grudziądzki,kujawsko-pomorskie,27,113,883,253,2,88,2,2,334,2,2
gm. Świecie nad Osą,grudziądzki,kujawsko-pomorskie,18,96,897,195,2,39,2,4,272,0,0
m. Inowrocław,inowrocławski,kujawsko-pomorskie,900,1752,11683,5260,46,672,25,45,14658,47,65
gm. Dąbrowa Biskupia,inowrocławski,kujawsko-pomorskie,28,120,1116,290,3,85,2,3,448,5,2
gm. Gniewkowo,inowrocławski,kujawsko-pomorskie,110,535,2780,927,15,205,6,11,1681,7,12
gm. Inowrocław,inowrocławski,kujawsko-pomorskie,113,374,2437,842,11,188,3,9,1572,3,10
gm. Janikowo,inowrocławski,kujawsko-pomorskie,130,402,2588,904,16,173,10,3,1799,9,11
gm. Kruszwica,inowrocławski,kujawsko-pomorskie,167,506,4087,1019,3,294,8,12,2387,7,10
gm. Pakość,inowrocławski,kujawsko-pomorskie,73,304,1894,683,8,128,5,5,1287,3,11
gm. Rojewo,inowrocławski,kujawsko-pomorskie,30,157,1051,246,3,70,2,2,395,2,5
gm. Złotniki Kujawskie,inowrocławski,kujawsko-pomorskie,84,256,1868,667,2,126,3,2,1047,4,4
m. Lipno,lipnowski,kujawsko-pomorskie,151,328,2468,833,6,213,8,11,2007,5,15
gm. Bobrowniki,lipnowski,kujawsko-pomorskie,28,57,656,191,1,114,0,3,282,1,2
gm. Chrostkowo,lipnowski,kujawsko-pomorskie,13,54,806,126,1,59,1,1,166,2,1
gm. Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie,42,160,1897,458,5,131,5,3,570,2,6
gm. Kikół,lipnowski,kujawsko-pomorskie,65,158,1558,281,2,260,4,2,510,0,12
gm. Lipno,lipnowski,kujawsko-pomorskie,70,255,2473,588,6,407,1,4,872,3,8
gm. Skępe,lipnowski,kujawsko-pomorskie,62,204,1693,357,0,147,2,1,874,7,6
gm. Tłuchowo,lipnowski,kujawsko-pomorskie,29,125,1276,239,4,110,3,0,290,3,5
gm. Wielgie,lipnowski,kujawsko-pomorskie,62,158,1365,302,4,210,6,3,581,3,8
gm. Dąbrowa,mogileński,kujawsko-pomorskie,37,129,988,282,3,94,2,3,479,2,5
gm. Jeziora Wielkie,mogileński,kujawsko-pomorskie,31,105,1243,279,1,121,1,7,420,5,3
gm. Mogilno,mogileński,kujawsko-pomorskie,283,759,4824,1866,18,462,5,10,3292,8,28
gm. Strzelno,mogileński,kujawsko-pomorskie,128,300,2523,619,9,174,5,3,1479,6,14
gm. Kcynia,nakielski,kujawsko-pomorskie,150,294,2712,779,6,240,8,6,1396,2,7
gm. Mrocza,nakielski,kujawsko-pomorskie,49,223,1882,642,6,102,3,6,915,7,4
gm. Nakło nad Notecią,nakielski,kujawsko-pomorskie,300,815,5698,2623,20,375,14,18,4855,13,34
gm. Sadki,nakielski,kujawsko-pomorskie,51,158,1520,499,3,107,3,3,734,3,6
gm. Szubin,nakielski,kujawsko-pomorskie,213,646,4201,2088,19,269,20,6,3552,5,22
m. Radziejów,radziejowski,kujawsko-pomorskie,50,136,1269,344,7,52,4,2,859,3,6
gm. Bytoń,radziejowski,kujawsko-pomorskie,28,80,1144,133,3,56,2,1,254,3,3
gm. Dobre,radziejowski,kujawsko-pomorskie,23,120,1356,303,5,73,4,0,432,3,4
gm. Osięciny,radziejowski,kujawsko-pomorskie,68,162,1989,389,4,132,0,5,672,1,6
gm. Piotrków Kujawski,radziejowski,kujawsko-pomorskie,65,178,2582,447,9,136,5,8,769,3,11
gm. Radziejów,radziejowski,kujawsko-pomorskie,31,93,1148,258,0,98,0,3,374,2,2
gm. Topólka,radziejowski,kujawsko-pomorskie,38,88,1332,291,3,98,1,1,514,2,4
m. Rypin,rypiński,kujawsko-pomorskie,160,336,3169,969,6,130,5,5,2645,9,7
gm. Brzuze,rypiński,kujawsko-pomorskie,48,121,1269,282,6,93,4,1,473,4,4
gm. Rogowo,rypiński,kujawsko-pomorskie,41,91,1244,190,2,108,5,2,332,2,7
gm. Rypin,rypiński,kujawsko-pomorskie,56,174,1562,441,7,137,4,5,632,5,7
gm. Skrwilno,rypiński,kujawsko-pomorskie,28,142,1644,269,4,75,4,3,416,3,1
gm. Wąpielsk,rypiński,kujawsko-pomorskie,36,75,976,204,0,67,1,3,325,0,6
gm. Kamień Krajeński,sępoleński,kujawsko-pomorskie,62,166,1332,560,6,87,4,5,704,2,16
gm. Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie,136,326,2894,1132,13,171,4,4,2345,13,10
gm. Sośno,sępoleński,kujawsko-pomorskie,32,78,1089,318,1,73,0,6,405,0,5
gm. Więcbork,sępoleński,kujawsko-pomorskie,106,297,2609,926,4,127,5,6,1557,6,6
gm. Bukowiec,świecki,kujawsko-pomorskie,29,119,1153,317,1,61,1,6,428,0,2
gm. Dragacz,świecki,kujawsko-pomorskie,66,179,1204,490,6,73,0,6,911,3,10
gm. Drzycim,świecki,kujawsko-pomorskie,43,131,1103,330,3,79,2,5,419,1,2
gm. Jeżewo,świecki,kujawsko-pomorskie,54,253,1669,537,5,71,4,6,804,2,4
gm. Lniano,świecki,kujawsko-pomorskie,25,124,1067,329,3,61,0,3,426,2,3
gm. Nowe,świecki,kujawsko-pomorskie,56,245,1778,719,4,96,1,7,1181,3,8
gm. Osie,świecki,kujawsko-pomorskie,69,152,1013,370,5,92,2,5,781,0,2
gm. Pruszcz,świecki,kujawsko-pomorskie,73,258,1934,745,9,166,4,7,1147,6,10
gm. Świecie,świecki,kujawsko-pomorskie,313,784,5402,2539,19,296,12,29,5657,6,26
gm. Świekatowo,świecki,kujawsko-pomorskie,33,106,771,323,9,57,1,1,369,2,8
gm. Warlubie,świecki,kujawsko-pomorskie,65,168,1305,387,2,83,4,3,547,4,6
m. Chełmża,toruński,kujawsko-pomorskie,117,404,2359,945,4,97,6,6,2059,5,17
gm. Chełmża,toruński,kujawsko-pomorskie,64,281,2032,611,9,115,5,4,950,2,12
gm. Czernikowo,toruński,kujawsko-pomorskie,63,196,1872,586,0,90,3,6,928,3,6
gm. Lubicz,toruński,kujawsko-pomorskie,208,676,3896,1772,23,182,6,15,3266,9,24
